id,query,cloud_environment,deployment_model,government_domain,data_classification,jurisdiction,policy_framework,governance_rule,ai_action,decision_explanation,risk_level,compliance_status,human_override_required,final_outcome,identity_context,security_control,audit_trace,timestamp,agency_type,region
FAGDD-014,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The request includes policy-sensitive data handling constraints.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST AI RMF 2023; ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Restricted,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",High,Requires Review,Yes,Escalated,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-014 recorded federated policy evaluation in Azure; region=US-East; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-09T16:34:00,State Government,US-East
FAGDD-015,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The request includes policy-sensitive data handling constraints.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,EU AI Act 2024; ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Allowed,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Medium,Partially Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-015 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-09T20:45:00,State Government,US-East
FAGDD-016,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The request includes policy-sensitive data handling constraints.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Low,Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-016 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-10T00:56:00,State Government,US-East
FAGDD-017,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The case requires a traceable governance decision for later audit.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST AI RMF 2023,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Blocked,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Critical,Non-Compliant,Yes,Denied,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-017 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-10T04:07:00,State Government,US-East
FAGDD-018,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The case requires a traceable governance decision for later audit.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Escalated,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",High,Partially Compliant,Yes,Approved with Conditions,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-018 recorded federated policy evaluation in Azure; region=US-East; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-10T08:18:00,State Government,US-East
FAGDD-019,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The case requires a traceable governance decision for later audit.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Medium,Partially Compliant,No,Approved with Conditions,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-019 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-10T12:29:00,State Government,US-East
FAGDD-020,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The case requires a traceable governance decision for later audit.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,EU AI Act 2024,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Logged,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Low,Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-020 recorded federated policy evaluation in Azure; region=US-East; action=Logged; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-10T16:40:00,State Government,US-East
FAGDD-021,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The request originated from a cross-cloud review queue.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,NIST AI RMF 2023; NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Blocked,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Critical,Non-Compliant,Yes,Denied,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-021 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-10T20:51:00,State Government,US-East
FAGDD-022,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The request originated from a cross-cloud review queue.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST AI RMF 2023; ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Restricted,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",High,Requires Review,Yes,Escalated,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-022 recorded federated policy evaluation in Azure; region=US-East; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-11T00:02:00,State Government,US-East
FAGDD-023,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The request originated from a cross-cloud review queue.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,EU AI Act 2024; ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Medium,Partially Compliant,No,Approved with Conditions,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-023 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-11T04:13:00,State Government,US-East
FAGDD-024,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The workflow requires a transparent explanation for supervisory approval.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Low,Compliant,No,Approved,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-024 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-11T08:24:00,State Government,US-East
FAGDD-025,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The workflow requires a transparent explanation for supervisory approval.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Blocked,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Critical,Non-Compliant,Yes,Denied,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-025 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-11T12:35:00,State Government,US-East
FAGDD-026,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The workflow requires a transparent explanation for supervisory approval.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Restricted,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",High,Requires Review,Yes,Escalated,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-026 recorded federated policy evaluation in Azure; region=US-East; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-11T16:46:00,State Government,US-East
FAGDD-027,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The workflow requires a transparent explanation for supervisory approval.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Medium,Partially Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-027 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-11T20:57:00,State Government,US-East
FAGDD-028,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The decision must preserve sovereign routing and identity context evidence.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,EU AI Act 2024,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Low,Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-028 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-12T00:08:00,State Government,US-East
FAGDD-029,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The decision must preserve sovereign routing and identity context evidence.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST AI RMF 2023; NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Blocked,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Critical,Non-Compliant,Yes,Denied,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-029 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-12T04:19:00,State Government,US-East
FAGDD-030,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The decision must preserve sovereign routing and identity context evidence.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Escalated,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",High,Partially Compliant,Yes,Approved with Conditions,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-030 recorded federated policy evaluation in Azure; region=US-East; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-12T08:30:00,State Government,US-East
FAGDD-031,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The decision must preserve sovereign routing and identity context evidence.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,EU AI Act 2024; ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Medium,Partially Compliant,No,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-031 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-12T12:41:00,State Government,US-East
FAGDD-032,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The request includes policy-sensitive data handling constraints.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Low,Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-032 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-12T16:52:00,State Government,US-East
FAGDD-033,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The request includes policy-sensitive data handling constraints.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,NIST AI RMF 2023,High-impact automated decisions require dual logging and human oversight before production release.,Blocked,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Critical,Non-Compliant,Yes,Denied,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-033 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-12T20:03:00,State Government,US-East
FAGDD-034,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The request includes policy-sensitive data handling constraints.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Restricted,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",High,Requires Review,Yes,Escalated,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-034 recorded federated policy evaluation in Azure; region=US-East; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-13T00:14:00,State Government,US-East
FAGDD-035,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The request includes policy-sensitive data handling constraints.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Allowed,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Medium,Partially Compliant,No,Approved with Conditions,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-035 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-13T04:25:00,State Government,US-East
FAGDD-036,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The case requires a traceable governance decision for later audit.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,EU AI Act 2024,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Low,Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-036 recorded federated policy evaluation in Azure; region=US-East; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-13T08:36:00,State Government,US-East
FAGDD-037,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The case requires a traceable governance decision for later audit.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST AI RMF 2023; NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Blocked,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Critical,Non-Compliant,Yes,Denied,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-037 recorded federated policy evaluation in Azure; region=US-East; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-13T12:47:00,State Government,US-East
FAGDD-038,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The case requires a traceable governance decision for later audit.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,NIST AI RMF 2023; ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Restricted,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",High,Requires Review,Yes,Escalated,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-038 recorded federated policy evaluation in Azure; region=US-East; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-13T16:58:00,State Government,US-East
