record_id,scenario_type,task_description,input_complexity,ai_recommendation,confidence_score,explainability_score,fairness_risk,compliance_risk,human_override,override_reason,final_decision,outcome_status,processing_time_seconds,notes
TADD-038,employee_onboarding,Assess a relocation onboarding form with manually adjusted travel details.,High,Escalate for interpretability review,0.64,2,Medium,Low,Yes,Confidence fell below the autonomous decision threshold. Reviewer intervened because the rationale transparency was insufficient.,Deferred,Deferred,60,Designed to support analysis of risk-aware automation behavior.
TADD-039,employee_onboarding,Validate a training assignment request for a cross-functional new hire.,High,Escalate for interpretability review,0.91,1,Low,Medium,Yes,Low explainability score required human interpretation of the result.,Escalated,Escalated,80,Suitable for reproducible experiments with synthetic decision data.
TADD-040,employee_onboarding,Review an onboarding checklist that includes role-specific policy exemptions.,High,Approve automatically,0.85,5,Low,Low,No,None,Approved,Approved,64,Suitable for reproducible experiments with synthetic decision data.
TADD-041,claims_review,Review a service reimbursement claim with one unsupported cost category.,Medium,Defer for additional evidence,0.52,3,Medium,Low,Yes,Low model confidence triggered mandatory human review.,Rejected,Rejected,52,Synthetic record for trustworthy automation benchmarking.
TADD-042,claims_review,Assess a property repair claim submitted with low-resolution image evidence.,High,Escalate for interpretability review,0.94,2,Medium,Medium,Yes,Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,114,Generated for open research on human-in-the-loop governance.
TADD-043,claims_review,Validate a travel disruption claim containing conflicting timeline entries.,Medium,Escalate for compliance review,0.95,2,High,High,Yes,Policy-sensitive conditions forced manual review by a compliance reviewer. Potential fairness concerns required a human equity check. The recommendation explanation was too weak for automated handling.,Rejected,Rejected,90,Generated for open research on human-in-the-loop governance.
TADD-044,claims_review,Review a wellness benefit claim with a missing provider classification.,High,Escalate for interpretability review,0.63,1,Low,Low,Yes,Low model confidence triggered mandatory human review. The recommendation explanation was too weak for automated handling.,Escalated,Escalated,116,Represents a generic operational workflow decision scenario.
TADD-045,claims_review,Assess a replacement claim for damaged equipment with duplicate serial text.,High,Escalate for interpretability review,0.90,2,Low,Medium,Yes,Low explainability score required human interpretation of the result.,Escalated,Escalated,89,Represents a generic operational workflow decision scenario.
TADD-046,claims_review,Validate a claim packet that combines urgent review language with sparse detail.,High,Escalate for compliance review,0.67,5,Low,High,Yes,Confidence fell below the autonomous decision threshold. High compliance risk required reviewer sign-off before completion.,Escalated,Escalated,77,Suitable for reproducible experiments with synthetic decision data.
TADD-047,claims_review,Review a claims submission with an unusually high manual adjustment request.,High,Approve with monitoring,0.97,3,Low,Medium,No,None,Approved,Approved,85,Designed to support analysis of risk-aware automation behavior.
TADD-048,claims_review,Assess a resubmitted claim after a previous documentation rejection.,Medium,Escalate for compliance review,0.80,5,Low,High,Yes,Policy-sensitive conditions forced manual review by a compliance reviewer.,Escalated,Escalated,40,Suitable for reproducible experiments with synthetic decision data.
TADD-049,claims_review,Validate a claim including handwritten annotations on the primary form.,High,Escalate for compliance review,0.95,5,Medium,High,Yes,Human review was required due to elevated compliance exposure.,Escalated,Escalated,93,Synthetic record for trustworthy automation benchmarking.
TADD-050,claims_review,Review a dependent support claim missing one verification timestamp.,Medium,Approve with monitoring,0.96,3,Medium,Medium,No,None,Approved,Approved,66,Represents a generic operational workflow decision scenario.
TADD-051,compliance_screening,Screen a vendor profile update that includes incomplete ownership details.,High,Approve with monitoring,0.75,4,Low,Medium,No,None,Approved,Approved,61,Generated for open research on human-in-the-loop governance.
TADD-052,compliance_screening,Review a transaction note that triggers an elevated policy keyword match.,High,Escalate for compliance review,0.71,4,Medium,High,Yes,Human review was required due to elevated compliance exposure.,Escalated,Escalated,109,Synthetic record for trustworthy automation benchmarking.
TADD-053,compliance_screening,Assess a registry screening result with partial identity overlap.,High,Escalate for interpretability review,0.65,2,Low,Medium,Yes,Confidence fell below the autonomous decision threshold. Low explainability score required human interpretation of the result.,Deferred,Deferred,88,Designed to support analysis of risk-aware automation behavior.
TADD-054,compliance_screening,Screen a partner onboarding record with conflicting jurisdiction fields.,High,Escalate for interpretability review,0.89,2,Medium,Low,Yes,Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,96,Generated for open research on human-in-the-loop governance.
TADD-055,compliance_screening,Review a flagged activity summary requiring secondary policy interpretation.,Medium,Escalate for interpretability review,0.83,2,Medium,Low,Yes,The recommendation explanation was too weak for automated handling.,Escalated,Escalated,67,Synthetic record for trustworthy automation benchmarking.
TADD-056,compliance_screening,Assess a due diligence packet with stale supporting documentation dates.,High,Escalate for manual assessment,0.72,5,Low,Medium,No,None,Escalated,Escalated,96,Generated for open research on human-in-the-loop governance.
TADD-057,compliance_screening,Screen a payment release request with a nonstandard exception annotation.,Medium,Escalate for compliance review,0.57,1,High,High,Yes,Confidence fell below the autonomous decision threshold. High compliance risk required reviewer sign-off before completion. Potential fairness concerns required a human equity check. Reviewer intervened because the rationale transparency was insufficient.,Rejected,Rejected,72,Suitable for reproducible experiments with synthetic decision data.
TADD-058,compliance_screening,Review a policy monitoring alert tied to inconsistent classification labels.,High,Escalate for interpretability review,0.62,1,Low,Medium,Yes,Reviewer intervened because the prediction confidence was insufficient. Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,118,Suitable for reproducible experiments with synthetic decision data.
TADD-059,compliance_screening,Assess a distribution request involving a restricted geography code.,High,Approve with monitoring,0.71,5,Low,Low,No,None,Approved,Approved,102,Represents a generic operational workflow decision scenario.
TADD-060,compliance_screening,Screen a renewal package with missing beneficial control disclosures.,High,Approve with monitoring,0.87,3,Medium,Medium,No,None,Approved,Approved,75,Represents a generic operational workflow decision scenario.
TADD-061,case_prioritization,Prioritize an incident case with moderate impact but repeated reopen events.,High,Approve with monitoring,0.72,3,Low,Low,No,None,Approved,Approved,55,Generated for open research on human-in-the-loop governance.
TADD-062,case_prioritization,Rank a service interruption case affecting a low-volume but high-value channel.,Low,Defer for additional evidence,0.57,4,Medium,Medium,Yes,Confidence fell below the autonomous decision threshold.,Rejected,Rejected,31,Suitable for reproducible experiments with synthetic decision data.
TADD-063,case_prioritization,Prioritize a quality issue report with limited evidence and urgent language.,High,Escalate for interpretability review,0.73,1,Low,Low,Yes,Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,64,Designed to support analysis of risk-aware automation behavior.
TADD-064,case_prioritization,Rank a field operations case that spans multiple unresolved dependencies.,Medium,Approve with monitoring,0.73,3,Low,Low,No,None,Approved,Approved,54,Suitable for reproducible experiments with synthetic decision data.
TADD-065,case_prioritization,Prioritize a policy exception case with conflicting severity indicators.,Medium,Escalate for interpretability review,0.89,2,Low,Low,Yes,The recommendation explanation was too weak for automated handling.,Approved,Approved,57,Designed to support analysis of risk-aware automation behavior.
TADD-066,case_prioritization,Rank a service backlog item linked to a time-sensitive regulatory milestone.,High,Escalate for compliance review,0.85,4,High,High,Yes,High compliance risk required reviewer sign-off before completion. High fairness risk triggered a manual bias review.,Escalated,Escalated,120,Synthetic record for trustworthy automation benchmarking.
TADD-067,case_prioritization,Prioritize a technical fault report from a recently migrated workflow.,Medium,Defer pending fairness review,0.81,2,High,Low,Yes,High fairness risk triggered a manual bias review. Low explainability score required human interpretation of the result.,Escalated,Escalated,48,Represents a generic operational workflow decision scenario.
TADD-068,case_prioritization,Rank an operations complaint with vague impact and repeated follow-ups.,Medium,Escalate for compliance review,0.67,4,Low,High,Yes,Confidence fell below the autonomous decision threshold. High compliance risk required reviewer sign-off before completion.,Escalated,Escalated,70,Synthetic record for trustworthy automation benchmarking.
TADD-069,case_prioritization,Prioritize a high-visibility case with incomplete ownership assignment.,High,Approve automatically,0.99,3,Low,Low,No,None,Approved,Approved,50,Synthetic record for trustworthy automation benchmarking.
TADD-070,case_prioritization,Rank a resource contention issue involving several dependent teams.,Low,Escalate for interpretability review,0.97,2,Medium,Medium,Yes,The recommendation explanation was too weak for automated handling.,Escalated,Escalated,38,Synthetic record for trustworthy automation benchmarking.
TADD-071,chatbot_escalation,Evaluate a support chat session where the user repeatedly asks for a specialist.,Medium,Escalate for interpretability review,0.78,2,Low,Low,Yes,The recommendation explanation was too weak for automated handling.,Escalated,Escalated,75,Synthetic record for trustworthy automation benchmarking.
TADD-072,chatbot_escalation,Review a chatbot exchange that mixes billing confusion with emotional language.,Low,Defer pending fairness review,0.88,2,High,Low,Yes,High fairness risk triggered a manual bias review. Reviewer intervened because the rationale transparency was insufficient.,Escalated,Escalated,40,Designed to support analysis of risk-aware automation behavior.
TADD-073,chatbot_escalation,Assess a conversation containing contradictory self-service confirmations.,High,Escalate for interpretability review,0.96,2,Low,Medium,Yes,The recommendation explanation was too weak for automated handling.,Escalated,Escalated,70,Suitable for reproducible experiments with synthetic decision data.
TADD-074,chatbot_escalation,Evaluate a chat transcript with repeated requests outside workflow scope.,Medium,Approve with monitoring,0.89,5,Medium,Low,No,None,Approved,Approved,62,Represents a generic operational workflow decision scenario.
TADD-075,chatbot_escalation,Review a session where the user rejects automated troubleshooting steps.,Medium,Defer for additional evidence,0.53,3,Low,Low,Yes,Low model confidence triggered mandatory human review.,Rejected,Rejected,60,Designed to support analysis of risk-aware automation behavior.
TADD-076,chatbot_escalation,Assess a conversation that includes an unresolved complaint and refund request.,High,Approve with monitoring,0.85,4,Low,Medium,No,None,Approved,Approved,79,Suitable for reproducible experiments with synthetic decision data.
TADD-077,chatbot_escalation,Evaluate a chat transcript with multiple topic changes in a short window.,High,Approve with monitoring,0.90,5,Medium,Low,No,None,Approved,Approved,120,Represents a generic operational workflow decision scenario.
TADD-078,chatbot_escalation,Review a self-service conversation containing low clarity intent signals.,Medium,Escalate for interpretability review,0.66,2,Medium,Low,Yes,Low model confidence triggered mandatory human review. Low explainability score required human interpretation of the result.,Escalated,Escalated,76,Represents a generic operational workflow decision scenario.
TADD-079,chatbot_escalation,Assess a support chat involving accessibility-related assistance needs.,Medium,Defer for additional evidence,0.51,3,Low,Low,Yes,Confidence fell below the autonomous decision threshold.,Rejected,Rejected,54,Represents a generic operational workflow decision scenario.
TADD-080,chatbot_escalation,Evaluate a chatbot conversation with a high-friction authentication loop.,High,Defer pending fairness review,0.77,5,High,Low,Yes,High fairness risk triggered a manual bias review.,Escalated,Escalated,120,Generated for open research on human-in-the-loop governance.
TADD-081,access_request_validation,Validate a role-based access request with mismatched business justification text.,High,Approve automatically,0.84,4,Low,Low,No,None,Approved,Approved,73,Designed to support analysis of risk-aware automation behavior.
TADD-082,access_request_validation,Review a temporary access request submitted without an end-date rationale.,High,Approve with monitoring,0.84,3,Medium,Low,No,None,Approved,Approved,99,Suitable for reproducible experiments with synthetic decision data.
TADD-083,access_request_validation,Assess a privileged access request with overlapping approval authority.,Medium,Defer for additional evidence,0.66,4,Low,Low,Yes,Reviewer intervened because the prediction confidence was insufficient.,Deferred,Deferred,43,Generated for open research on human-in-the-loop governance.
TADD-084,access_request_validation,Validate a shared workspace access form referencing an outdated team name.,High,Defer for additional evidence,0.59,4,Low,Medium,Yes,Low model confidence triggered mandatory human review.,Rejected,Rejected,81,Generated for open research on human-in-the-loop governance.
TADD-085,access_request_validation,Review an emergency access request submitted during non-business hours.,High,Escalate for manual assessment,0.68,3,Low,Medium,Yes,Low model confidence triggered mandatory human review.,Escalated,Escalated,120,Generated for open research on human-in-the-loop governance.
TADD-086,access_request_validation,Assess a request to extend repository access beyond the standard review cycle.,High,Approve with monitoring,0.81,4,Low,Low,No,None,Approved,Approved,105,Designed to support analysis of risk-aware automation behavior.
TADD-087,access_request_validation,Validate a data-view permission request with incomplete training confirmation.,High,Defer pending fairness review,0.72,2,High,Low,Yes,Potential fairness concerns required a human equity check. The recommendation explanation was too weak for automated handling.,Escalated,Escalated,111,Synthetic record for trustworthy automation benchmarking.
TADD-088,access_request_validation,Review a contractor access extension request missing one sponsor response.,High,Escalate for interpretability review,0.78,1,Low,Medium,Yes,The recommendation explanation was too weak for automated handling.,Escalated,Escalated,85,Suitable for reproducible experiments with synthetic decision data.
TADD-089,access_request_validation,Assess a cross-functional access request with ambiguous least-privilege scope.,High,Approve with monitoring,0.87,5,Medium,Medium,No,None,Approved,Approved,102,Designed to support analysis of risk-aware automation behavior.
TADD-090,access_request_validation,Validate an application role request containing inconsistent environment labels.,Medium,Defer pending fairness review,0.65,5,High,Low,Yes,Reviewer intervened because the prediction confidence was insufficient. Reviewer intervened to inspect a possible disparate impact pattern.,Deferred,Deferred,37,Generated for open research on human-in-the-loop governance.
TADD-091,exception_handling,Review a workflow exception raised after a failed duplicate detection step.,Medium,Escalate for interpretability review,0.63,1,Low,Low,Yes,Low model confidence triggered mandatory human review. The recommendation explanation was too weak for automated handling.,Deferred,Deferred,81,Designed to support analysis of risk-aware automation behavior.
TADD-092,exception_handling,Assess a process exception involving a missing upstream status update.,High,Escalate for interpretability review,0.64,2,Low,Low,Yes,Low model confidence triggered mandatory human review. Reviewer intervened because the rationale transparency was insufficient.,Deferred,Deferred,96,Suitable for reproducible experiments with synthetic decision data.
TADD-093,exception_handling,Validate an exception queue item with partial retry history metadata.,High,Escalate for interpretability review,0.82,2,Low,Medium,Yes,The recommendation explanation was too weak for automated handling.,Escalated,Escalated,89,Synthetic record for trustworthy automation benchmarking.
TADD-094,exception_handling,Review a manually reopened automation exception with stale system notes.,High,Defer for additional evidence,0.53,3,Medium,Medium,Yes,Confidence fell below the autonomous decision threshold.,Rejected,Rejected,75,Represents a generic operational workflow decision scenario.
TADD-095,exception_handling,Assess a failed routing exception tied to inconsistent priority markers.,Medium,Approve automatically,0.84,3,Low,Low,No,None,Approved,Approved,58,Synthetic record for trustworthy automation benchmarking.
TADD-096,exception_handling,Validate an exception case triggered by a malformed attachment bundle.,Medium,Approve with monitoring,0.94,3,Medium,Low,No,None,Approved,Approved,63,Suitable for reproducible experiments with synthetic decision data.
TADD-097,exception_handling,Review a fallback processing exception for a time-sensitive transaction.,High,Defer pending fairness review,0.79,1,High,Medium,Yes,Reviewer intervened to inspect a possible disparate impact pattern. The recommendation explanation was too weak for automated handling.,Escalated,Escalated,82,Suitable for reproducible experiments with synthetic decision data.
TADD-098,exception_handling,Assess an exception item with conflicting timestamps from parallel events.,High,Approve with monitoring,0.82,3,Low,Medium,No,None,Approved,Approved,107,Synthetic record for trustworthy automation benchmarking.
TADD-099,exception_handling,Validate a workflow bypass request linked to repeated parsing failures.,Medium,Approve with monitoring,0.73,4,Low,Medium,No,None,Approved,Approved,41,Designed to support analysis of risk-aware automation behavior.
TADD-100,exception_handling,Review an exception case where the prior remediation record is incomplete.,High,Approve with monitoring,0.84,3,Medium,Low,No,None,Approved,Approved,49,Designed to support analysis of risk-aware automation behavior.
